datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
1/18/2014 20:45,columbia,md,us,cigar,900,15 minutes,There ufos spotted over Columbia&#44 MD.,1/24/2014,39.2402778,-76.8397222
1/18/2014 21:00,easton,md,us,light,10,10 seconds,A big flash of white light by the moon followed by a very bright light that skipped across the sky then faded to black.,1/24/2014,38.7741667,-76.0766667
1/19/2004 21:00,mechaniscville,md,NA,triangle,120,2 mins,It moved slow with 9 bright white lights made no sound and was low to the ground with triangular shape,6/27/2011,38.442165,-76.743977
11/9/2005 21:00,laplata,md,NA,other,20,20seconds,Telepathic Message?,12/12/2009,38.529288,-76.975251
1/19/2011 20:00,district heights,md,us,flash,3600,1 hour,Last Tuesday night i was in my bedroom had the TV and listening to a gospel cd I brought on my computer when I heard this loud noise go,2/8/2011,38.8575,-76.8897222
11/9/2013 21:00,severna park,md,us,sphere,900,15 minutes,Silent red spheres moving in single file across the sky in Severna Park Maryland.,11/11/2013,39.0702778,-76.5455556
1/20/2000 23:10,belcamp,md,us,triangle,120,2 min,While viewing the lunar eclipse I saw a triangle of 11 small dim lights pass between me and the moon. The formation traveled to the sou,1/22/2000,39.4688889,-76.2336111
1/20/2007 19:57,ocean city,md,us,other,20,10-20 seconds,orange light zig-zags over ocean city&#44maryland,2/1/2007,38.3363889,-75.0852778
12/10/2006 20:45,frostburg,md,us,flash,300,5 minutes,I was walking to the other side of campus to visit a friend.  It was snowing and incredibly cold.  I could hear a loud bell&#44 almost lik,1/5/2011,39.6580556,-78.9286111
12/11/2004 19:00,hagerstown,md,us,flash,15,15 seconds,I saw this computer page and know I needed to write in.  Every Saturday night my buddies and I make fruit cups and shoot the breeze&#44 us,1/19/2005,39.6416667,-77.7202778
12/11/2004 19:55,gaithersburg,md,us,other,2,2 seconds,Brilliant green comet or meteor,12/14/2004,39.1433333,-77.2016667
12/11/2004 20:00,baltimore,md,us,fireball,4,4 seconds,Multicolored fireball in west Balitmore City near the county line,1/19/2005,39.2902778,-76.6125
12/11/2004 20:00,college park,md,us,fireball,2,2 seconds,Big Green Ball of Light Falling over College Park&#44 MD on December&#44 11 2004  ((NUFORC Note:  Possible meteor.  PD)),12/14/2004,38.9805556,-76.9372222
12/11/2004 21:00,williamsport,md,us,fireball,6,6 seconds,Green light emmitted from sky in Western Maryland  ((NUFORC Note:  Possible meteor.  PD)),12/14/2004,39.6005556,-77.8208333
12/11/2007 23:00,north east,md,us,unknown,60,1 minute,((HOAX??)) My dog &amp; I were in the driveway he began to bark wildly at the sky&#44 I looked up to see three large lights/orbs.,1/10/2009,39.6,-75.9416667
12/11/2009 22:41,rockville,md,us,triangle,7,5-7 seconds,6 orange colored triangular shaped craft moving at extream high speed and ultra high altitude,12/12/2009,39.0838889,-77.1530556
12/1/2003 21:40,baltimore,md,us,chevron,2,a few seconds,I was walking back to my car at this time&#44 as i work at a model shop in downtown Baltimore. I had parked on the uppermost roof level of,12/9/2003,39.2902778,-76.6125
1/21/2003 22:55,bethesda/rockville,md,NA,formation,300,5 minutes,Craft with 3 lights hovering over 495 then darting away,3/21/2003,39.024231,-77.102991
12/1/2006 17:00,cockeysville,md,us,other,3600,approx 1 hour,v shaped greenlights seen in evening cloudy sky in baltimore,12/7/2006,39.4811111,-76.6441667
12/1/2009 19:00,taneytown,md,us,other,1200,hours,unusual objetcs in the nights sky&#33,2/14/2010,39.6577778,-77.1747222
12/1/2009 19:00,taneytown,md,us,other,1200,hours,Unusual objets in the nights sky.,2/14/2010,39.6577778,-77.1747222
12/1/2013 02:25,arnold,md,us,circle,20,20 seconds,Red object over Arnold/Annapolis Maryland,12/2/2013,39.0319444,-76.5030556
12/12/1948 23:30,sharpsburg,md,us,circle,180,3 minutes,Small UFO at 100&#39&#44  airspeed less than 20mph&#44 absolutely silent&#44  saw crew&#44 normal&#44 white uniforms.,3/19/2009,39.4575,-77.7491667
12/12/1999 03:30,la plata,md,us,NA,60,1:00+ min,saw hovering over a field&#44 then slowly moved away as we approached. made almost no sound. U.S. Military probable.,12/16/1999,38.5291667,-76.9755556
12/12/2003 13:00,rockville,md,us,changing,30,30sec,Object that acted like a rust colored balloon turned flat and sped away.,1/17/2004,39.0838889,-77.1530556
12/12/2005 19:00,annapolis,md,us,disk,600,10 minutes,Saucer shapped object with lights all around it in the sky in Annapolis,12/16/2005,38.9783333,-76.4925
12/12/2009 02:10,towson,md,us,sphere,5,5 seconds,white sphere flew silently over the house,2/14/2010,39.4013889,-76.6022222
12/12/2013 00:00,baltimore,md,us,other,60,1 minute,2 vertical lights relatively low moving quickly across sky and then disappeared.  Did not reappear&#44 outside for 20mins.,12/12/2013,39.2902778,-76.6125
12/13/2005 20:15,chesapeake beach,md,us,fireball,5,3-5 sec.,Green Fireball over Western Shore of Maryland.  ((NUFORC Note:  Possible meteor??  PD)),12/16/2005,38.6861111,-76.535
12/13/2012 06:30,towson,md,us,sphere,4,4 seconds,Green sphere over I-83 stops&#44 hovers then takes off to the west.  ((NUFORC Note:  Possible hoax&#44 we believe.  PD)).,12/20/2012,39.4013889,-76.6022222
12/14/2012 22:45,potomac,md,us,triangle,2400,40 minutes,I and girlfriend noticed a bright object in the sky around 10:45.,12/20/2012,39.0180556,-77.2088889
